Regional totals	Autonomous Communities and Cities	Provinces	Guests and overnight stays	Residence: Nivel 1	Residence: Nivel 2	Periodo	Total
National Total	07 Castilla y León	40 Segovia	Overnight stays	Total	Residents abroad	2011M11	4.317
National Total	07 Castilla y León	40 Segovia	Overnight stays	Total	Residents abroad	2011M10	12.159
National Total	07 Castilla y León	40 Segovia	Overnight stays	Total	Residents abroad	2011M09	13.064
National Total	07 Castilla y León	40 Segovia	Overnight stays	Total	Residents abroad	2011M08	18.923
National Total	07 Castilla y León	40 Segovia	Overnight stays	Total	Residents abroad	2011M07	10.895
National Total	07 Castilla y León	40 Segovia	Overnight stays	Total	Residents abroad	2011M06	12.075
National Total	07 Castilla y León	40 Segovia	Overnight stays	Total	Residents abroad	2011M05	14.549
National Total	07 Castilla y León	40 Segovia	Overnight stays	Total	Residents abroad	2011M04	9.328
National Total	07 Castilla y León	40 Segovia	Overnight stays	Total	Residents abroad	2011M03	5.922
National Total	07 Castilla y León	40 Segovia	Overnight stays	Total	Residents abroad	2011M02	3.683
National Total	07 Castilla y León	40 Segovia	Overnight stays	Total	Residents abroad	2011M01	3.608
National Total	07 Castilla y León	40 Segovia	Overnight stays	Total	Residents abroad	2010M12	3.830
National Total	07 Castilla y León	40 Segovia	Overnight stays	Total	Residents abroad	2010M11	5.028
National Total	07 Castilla y León	40 Segovia	Overnight stays	Total	Residents abroad	2010M10	11.828
National Total	07 Castilla y León	40 Segovia	Overnight stays	Total	Residents abroad	2010M09	12.512
National Total	07 Castilla y León	40 Segovia	Overnight stays	Total	Residents abroad	2010M08	10.433
National Total	07 Castilla y León	40 Segovia	Overnight stays	Total	Residents abroad	2010M07	12.020
National Total	07 Castilla y León	40 Segovia	Overnight stays	Total	Residents abroad	2010M06	11.480
National Total	07 Castilla y León	40 Segovia	Overnight stays	Total	Residents abroad	2010M05	11.066
National Total	07 Castilla y León	40 Segovia	Overnight stays	Total	Residents abroad	2010M04	7.439
National Total	07 Castilla y León	40 Segovia	Overnight stays	Total	Residents abroad	2010M03	5.403
National Total	07 Castilla y León	40 Segovia	Overnight stays	Total	Residents abroad	2010M02	3.577
National Total	07 Castilla y León	40 Segovia	Overnight stays	Total	Residents abroad	2010M01	3.352
National Total	07 Castilla y León	40 Segovia	Overnight stays	Total	Residents abroad	2009M12	3.378
National Total	07 Castilla y León	40 Segovia	Overnight stays	Total	Residents abroad	2009M11	3.977
National Total	07 Castilla y León	40 Segovia	Overnight stays	Total	Residents abroad	2009M10	9.338
National Total	07 Castilla y León	40 Segovia	Overnight stays	Total	Residents abroad	2009M09	10.979
National Total	07 Castilla y León	40 Segovia	Overnight stays	Total	Residents abroad	2009M08	10.512
National Total	07 Castilla y León	40 Segovia	Overnight stays	Total	Residents abroad	2009M07	12.635
National Total	07 Castilla y León	40 Segovia	Overnight stays	Total	Residents abroad	2009M06	8.393
National Total	07 Castilla y León	40 Segovia	Overnight stays	Total	Residents abroad	2009M05	12.959
National Total	07 Castilla y León	40 Segovia	Overnight stays	Total	Residents abroad	2009M04	9.059
National Total	07 Castilla y León	40 Segovia	Overnight stays	Total	Residents abroad	2009M03	3.247
National Total	07 Castilla y León	40 Segovia	Overnight stays	Total	Residents abroad	2009M02	2.620
National Total	07 Castilla y León	40 Segovia	Overnight stays	Total	Residents abroad	2009M01	2.717
National Total	07 Castilla y León	40 Segovia	Overnight stays	Total	Residents abroad	2008M12	2.985
National Total	07 Castilla y León	40 Segovia	Overnight stays	Total	Residents abroad	2008M11	4.655
National Total	07 Castilla y León	40 Segovia	Overnight stays	Total	Residents abroad	2008M10	9.944
National Total	07 Castilla y León	40 Segovia	Overnight stays	Total	Residents abroad	2008M09	11.179
