Provinces	Travellers and overnight stays	Residence	Periodo	Total
02 Albacete	Guests	Residents abroad	2025M07	53
02 Albacete	Guests	Residents abroad	2025M06	16
02 Albacete	Guests	Residents abroad	2025M05	73
02 Albacete	Guests	Residents abroad	2025M04	88
02 Albacete	Guests	Residents abroad	2025M03	42
02 Albacete	Guests	Residents abroad	2025M02	23
02 Albacete	Guests	Residents abroad	2025M01	0
02 Albacete	Guests	Residents abroad	2024M12	60
02 Albacete	Guests	Residents abroad	2024M11	56
02 Albacete	Guests	Residents abroad	2024M10	98
02 Albacete	Guests	Residents abroad	2024M09	53
02 Albacete	Guests	Residents abroad	2024M08	31
02 Albacete	Guests	Residents abroad	2024M07	53
02 Albacete	Guests	Residents abroad	2024M06	58
02 Albacete	Guests	Residents abroad	2024M05	66
02 Albacete	Guests	Residents abroad	2024M04	42
02 Albacete	Guests	Residents abroad	2024M03	46
02 Albacete	Guests	Residents abroad	2024M02	30
02 Albacete	Guests	Residents abroad	2024M01	24
02 Albacete	Guests	Residents abroad	2023M12	16
02 Albacete	Guests	Residents abroad	2023M11	55
02 Albacete	Guests	Residents abroad	2023M10	67
02 Albacete	Guests	Residents abroad	2023M09	97
02 Albacete	Guests	Residents abroad	2023M08	56
02 Albacete	Guests	Residents abroad	2023M07	33
02 Albacete	Guests	Residents abroad	2023M06	65
02 Albacete	Guests	Residents abroad	2023M05	30
02 Albacete	Guests	Residents abroad	2023M04	83
02 Albacete	Guests	Residents abroad	2023M03	46
02 Albacete	Guests	Residents abroad	2023M02	8
02 Albacete	Guests	Residents abroad	2023M01	64
02 Albacete	Guests	Residents abroad	2022M12	37
02 Albacete	Guests	Residents abroad	2022M11	33
02 Albacete	Guests	Residents abroad	2022M10	60
02 Albacete	Guests	Residents abroad	2022M09	128
02 Albacete	Guests	Residents abroad	2022M08	8
02 Albacete	Guests	Residents abroad	2022M07	22
02 Albacete	Guests	Residents abroad	2022M06	60
02 Albacete	Guests	Residents abroad	2022M05	55
02 Albacete	Guests	Residents abroad	2022M04	52
02 Albacete	Guests	Residents abroad	2022M03	85
02 Albacete	Guests	Residents abroad	2022M02	20
02 Albacete	Guests	Residents abroad	2022M01	13
02 Albacete	Guests	Residents abroad	2021M12	.
02 Albacete	Guests	Residents abroad	2021M11	.
02 Albacete	Guests	Residents abroad	2021M10	0
02 Albacete	Guests	Residents abroad	2021M09	16
02 Albacete	Guests	Residents abroad	2021M08	17
02 Albacete	Guests	Residents abroad	2021M07	37
02 Albacete	Guests	Residents abroad	2021M06	30
02 Albacete	Guests	Residents abroad	2021M05	37
02 Albacete	Guests	Residents abroad	2021M04	6
02 Albacete	Guests	Residents abroad	2021M03	0
02 Albacete	Guests	Residents abroad	2021M02	0
02 Albacete	Guests	Residents abroad	2021M01	.
02 Albacete	Guests	Residents abroad	2020M12	0
02 Albacete	Guests	Residents abroad	2020M11	0
02 Albacete	Guests	Residents abroad	2020M10	4
02 Albacete	Guests	Residents abroad	2020M09	10
02 Albacete	Guests	Residents abroad	2020M08	63
02 Albacete	Guests	Residents abroad	2020M07	4
02 Albacete	Guests	Residents abroad	2020M06	34
02 Albacete	Guests	Residents abroad	2020M05	.
02 Albacete	Guests	Residents abroad	2020M04	0
02 Albacete	Guests	Residents abroad	2020M03	0
02 Albacete	Guests	Residents abroad	2020M02	8
02 Albacete	Guests	Residents abroad	2020M01	63
02 Albacete	Guests	Residents abroad	2019M12	53
02 Albacete	Guests	Residents abroad	2019M11	69
02 Albacete	Guests	Residents abroad	2019M10	108
02 Albacete	Guests	Residents abroad	2019M09	32
02 Albacete	Guests	Residents abroad	2019M08	40
02 Albacete	Guests	Residents abroad	2019M07	65
